Section,Year,month,Amount,Number of people,average
Board cut,2023,1,107146,10,10714.6
Window,2023,1,49500,6,8250
Bathroom,2023,1,64800,6,10800
FL&CL,2023,1,62658.2,5,12531.64
Floor Board,2023,1,0,0,0
Panel EW,2023,1,84100,8,10512.5
SL-IW,2023,1,106460,8,13307.5
AS-IW,2023,1,78900,10,7890
AS-EW,2023,1,28875,3,9625
Forklift,2023,1,28800,3,9600
EE,2023,1,23400,2,11700
SL-EW,2023,1,27306,3,9102
Board cut,2023,2,124943,10,12494.3
Window,2023,2,78950,6,13158.33333
Bathroom,2023,2,102973.5,6,17162.25
FL&CL,2023,2,69106.84,5,13821.368
Floor Board,2023,2,0,0,0
Panel EW,2023,2,84100,8,10512.5
SL-IW,2023,2,89319.9,7,12759.98571
AS-IW,2023,2,104343.15,11,9485.740909
AS-EW,2023,2,28875,3,9625
Forklift,2023,2,46080,3,15360
EE,2023,2,30420,2,15210
SL-EW,2023,2,32104.8,3,10701.6
Board cut,2023,3,115730,10,11573
Window,2023,3,90200,6,15033.33333
Bathroom,2023,3,127255.5,6,21209.25
FL&CL,2023,3,81993.56,4,20498.39
Floor Board,2023,3,0,0,0
Panel EW,2023,3,129428.16,8,16178.52
SL-IW,2023,3,98086.2,8,12260.775
AS-IW,2023,3,158575.47,11,14415.95182
AS-EW,2023,3,38031.9,3,12677.3
Forklift,2023,3,52480,3,17493.33333
EE,2023,3,46020,2,23010
SL-EW,2023,3,45638.28,3,15212.76
Board cut,2023,4,75000,9,8333.333333
Window,2023,4,49500,6,8250
Bathroom,2023,4,64800,6,10800
FL&CL,2023,4,55311.52,4,13827.88
Floor Board,2023,4,0,0,0
Panel EW,2023,4,84100,8,10512.5
SL-IW,2023,4,60000,7,8571.428571
AS-IW,2023,4,78900,11,7172.727273
AS-EW,2023,4,28875,3,9625
Forklift,2023,4,28800,3,9600
EE,2023,4,23400,2,11700
SL-EW,2023,4,27306,3,9102
Board cut,2023,5,100393,10,10039.3
Window,2023,5,49500,6,8250
Bathroom,2023,5,96606,6,16101
FL&CL,2023,5,41580,5,8316
Floor Board,2023,5,0,0,0
Panel EW,2023,5,84100,8,10512.5
SL-IW,2023,5,60000,8,7500
AS-IW,2023,5,78900,10,7890
AS-EW,2023,5,28875,3,9625
Forklift,2023,5,28800,3,9600
EE,2023,5,23400,2,11700
SL-EW,2023,5,27306,3,9102
Board cut,2023,6,75000,10,7500
Window,2023,6,49500,6,8250
Bathroom,2023,6,64800,6,10800
FL&CL,2023,6,41580,4,10395
Floor Board,2023,6,27654,3,9218
Panel EW,2023,6,84100,8,10512.5
SL-IW,2023,6,60000,8,7500
AS-IW,2023,6,78900,9,8766.666667
AS-EW,2023,6,28875,3,9625
Forklift,2023,6,28800,3,9600
EE,2023,6,23400,2,11700
SL-EW,2023,6,27306,2,13653
Board cut,2023,7,75000,10,7500
Window,2023,7,49500,5,9900
Bathroom,2023,7,64800,6,10800
FL&CL,2023,7,41580,3,13860
Floor Board,2023,7,27654,3,9218
Panel EW,2023,7,84100,7,12014.28571
SL-IW,2023,7,60000,8,7500
AS-IW,2023,7,78900,8,9862.5
AS-EW,2023,7,28875,3,9625
Forklift,2023,7,28800,3,9600
EE,2023,7,23400,2,11700
SL-EW,2023,7,27306,2,13653
Board cut,2023,8,136548,10,13654.8
Window,2023,8,79300,6,13216.66667
Bathroom,2023,8,99895.5,6,16649.25
FL&CL,2023,8,78634.6,4,19658.65
Floor Board,2023,8,39317.3,3,13105.76667
Panel EW,2023,8,104335.62,7,14905.08857
SL-IW,2023,8,119111.1,8,14888.8875
AS-IW,2023,8,134853.65,8,16856.70625
AS-EW,2023,8,35205.6,3,11735.2
Forklift,2023,8,46720,3,15573.33333
EE,2023,8,34060,2,17030
SL-EW,2023,8,42246.72,2,21123.36
Board cut,2023,9,130998,9,14555.33333
Window,2023,9,104050,6,17341.66667
Bathroom,2023,9,138271.5,6,23045.25
FL&CL,2023,9,92161.08,5,18432.216
Floor Board,2023,9,42800.78,3,14266.92667
Panel EW,2023,9,118586.22,7,16940.88857
SL-IW,2023,9,111119.4,8,13889.925
AS-IW,2023,9,146332.66,8,18291.5825
AS-EW,2023,9,39236.4,3,13078.8
Forklift,2023,9,61120,3,20373.33333
EE,2023,9,35620,3,11873.33333
SL-EW,2023,9,47083.68,3,15694.56
Board cut,2023,10,119105,9,13233.88889
Window,2023,10,49500,6,8250
Bathroom,2023,10,74641.5,6,12440.25
FL&CL,2023,10,66588.28,5,13317.656
Floor Board,2023,10,31475.62,3,10491.87333
Panel EW,2023,10,96173.28,7,13739.04
SL-IW,2023,10,97930,8,12241.25
AS-IW,2023,10,123396.51,8,15424.56375
AS-EW,2023,10,28875,3,9625
Forklift,2023,10,28800,3,9600
EE,2023,10,33670,3,11223.33333
SL-EW,2023,10,34231.32,3,11410.44
Board cut,2023,11,159754,9,17750.44444
Window,2023,11,116650,6,19441.66667
Bathroom,2023,11,166684.5,6,27780.75
FL&CL,2023,11,96219.64,5,19243.928
Floor Board,2023,11,50961.46,3,16987.15333
Panel EW,2023,11,132035.84,7,18862.26286
SL-IW,2023,11,116292.7,8,14536.5875
AS-IW,2023,11,162497.75,8,20312.21875
AS-EW,2023,11,40237.35,3,13412.45
Forklift,2023,11,71360,3,23786.66667
EE,2023,11,54600,3,18200
SL-EW,2023,11,48284.82,3,16094.94
Board cut,2023,12,75000,8,9375
Window,2023,12,49500,6,8250
Bathroom,2023,12,64800,6,10800
FL&CL,2023,12,67090.76,4,16772.69
Floor Board,2023,12,32340,3,10780
Panel EW,2023,12,84100,7,12014.28571
SL-IW,2023,12,73305.2,8,9163.15
AS-IW,2023,12,78900,8,9862.5
AS-EW,2023,12,28875,3,9625
Forklift,2023,12,28800,3,9600
EE,2023,12,23400,3,7800
SL-EW,2023,12,27306,3,9102
Board cut,2024,1,128178,8,16022.25
Bathroom,2024,1,75357,6,12559.5
Window,2024,1,69300,6,11550
FL&CL,2024,1,69515.6,5,13903.12
Floor Board,2024,1,31651.84,3,10550.61333
Panel EW,2024,1,104850.08,7,14978.58286
SL-IW,2024,1,112812.9,8,14101.6125
AS-EW,2024,1,28875,3,9625
AS-IW,2024,1,105778.44,8,13222.305
Forklift,2024,1,40320,3,13440
EE,2024,1,32240,3,10746.66667
SL-EW,2024,1,27306,3,9102
Board cut,2024,2,132416,8,16552
Bathroom,2024,2,99558,6,16593
Window,2024,2,84100,6,14016.66667
FL&CL,2024,2,77706.2,4,19426.55
Floor Board,2024,2,40518.5,3,13506.16667
Panel EW,2024,2,87054.52,7,12436.36
SL-IW,2024,2,102564.3,8,12820.5375
AS-EW,2024,2,42493.95,3,14164.65
AS-IW,2024,2,163321.19,8,20415.14875
Forklift,2024,2,51200,3,17066.66667
EE,2024,2,46020,2,23010
SL-EW,2024,2,50992.74,3,16997.58
Board cut,2024,3,118793,9,13199.22222
Bathroom,2024,3,152788.5,6,25464.75
Window,2024,3,91180,6,15196.66667
FL&CL,2024,3,77688.6,4,19422.15
Floor Board,2024,3,42434.48,3,14144.82667
Panel EW,2024,3,128739.7,7,18391.38571
SL-IW,2024,3,127520,8,15940
AS-EW,2024,3,41491.8,3,13830.6
AS-IW,2024,3,147161.62,8,18395.2025
Forklift,2024,3,56960,3,18986.66667
EE,2024,3,43680,2,21840
SL-EW,2024,3,49790.16,3,16596.72
Board cut,2024,4,85058,9,9450.888889
Bathroom,2024,4,64800,6,10800
Window,2024,4,51150,6,8525
FL&CL,2024,4,59907.76,4,14976.94
Floor Board,2024,4,27654,3,9218
Panel EW,2024,4,84100,7,12014.28571
SL-IW,2024,4,77922.5,8,9740.3125
AS-EW,2024,4,28875,3,9625
AS-IW,2024,4,78900,8,9862.5
Forklift,2024,4,29760,3,9920
EE,2024,4,25740,2,12870
SL-EW,2024,4,27306,2,13653
Board cut,2024,5,137275,10,13727.5
